"","posted_date","candidate","message","observation","likes","comments","shares","type","language","media"
"1",2020-10-20,"biden","Florida, early voting has begun in many counties. Make your plan to vote! makeaplan.com/FL","this one has biden supporters enumerating the three reasons they are voting for Biden.",30939,4500,3924,"video","en",NA
"2",2020-10-20,"biden","A purr-fect reminder for you to vote, volunteer, donate, or support in whatever way you can. Thank you to all the people who shared photos and videos of their cats with us!","cat video",39253,6100,8512,"video","en",NA
"3",2020-10-20,"biden","Have any questions about voting or the electoral process? Call us between 6am-11pm EST al (866) 296-8686 (1-866-2YO-VOTO).","no pictures, just post",6580,4800,420,"post","en",NA
"4",2020-10-20,"biden","For once, Donald Trump is correct: I will listen to scientists.","Video - campaing ad of Trump making fun of Biden for listening to the scientists.",52474,6800,7152,"video","en",NA
"5",2020-10-20,"biden","Black women are leaders on my campaign. They know the stakes of what we’re up against. I’m proud that my campaign reflects the diversity of America.","It includes a link to an magazine article.",43061,9000,2414,"link to essence.com","en",NA
"6",2020-10-20,"biden","14 días. Esto es todo, amigos, y si votan, ganaremos.","no pictures, just post",59000,9700,2142,"post","es",NA
"7",2020-10-20,"biden","Why do I say this campaign is about Park Ave. vs. Scranton? Well, Donald Trump favors his wealthy friends over hard working folks. He has spent his entire career enriching himself and exploiting others to get ahead. That isn't who we are as a nation — and the truth of the matter is — that’s not the kind of person we need leading this country.","campaign ad",7425,3300,1768,"video","en",NA
"8",2020-10-20,"biden","LIVE: Celebrate Kamala Harris' birthday with us in Milwaukee as we talk to folks about getting out the early vote!","This was a live video of an event with Kamala Harris. A copy of the video is available.",3750,1400,124,"video","en",NA
"9",2020-10-20,"biden","The cast of Avengers are assembling with Kamala Harris. Sign up and join us today at 6:45 p.m. ET. Learn more: http://joe.link/avengers","includes a photo of an invitation to the event",41157,8800,2916,"post","en",NA
"10",2020-10-20,"biden","LIVE: Celebrate Kamala Harris' birthday with us in Milwaukee as we talk to folks about getting out the early vote!","This was a live video of an event with Kamala Harris. A copy of the video is available.",10877,8400,1328,"video","en",NA
"11",2020-10-20,"biden","Chris Paul, Stephen Curry and I met with some students in Charlotte, North Carolina where we talked about the importance of voting. We’re all on one team — so make a plan to vote at makeaplan.com","video of Chris Paul and other NBA players supporting Biden.",9408,1600,964,"video","en",NA
"12",2020-10-20,"biden","Wisconsin! Today is the first day of early voting! YOU can be the difference. Make your plan and VOTE. iwillvote.com/wi","image of vote symbol",4189,2000,154,"link to Iwillvote.com","en",NA
"13",2020-10-20,"biden","14 days folks. Are you ready to make history?","Photo of Biden, Harris and Spouses in front of US flag.",199746,19000,8008,"photo","en",NA
"14",2020-10-20,"biden","Maryland, today is your last day to request a mail-in ballot. Don't wait and get registered now! iwillvote.com/MD","image of vote symbol",3362,1900,152,"link to Iwillvote.com","en",NA
"15",2020-10-20,"biden","Happy birthday to my running mate and friend, Kamala Harris! I’m proud to have you by my side on the trail, and I can’t wait to see what you’ll do as our next Vice President of the United States.","it includes a photo of Harris and Biden",204965,18000,6010,"post","en",NA
