posted_date,candidate,est_followers,message,observation,likes,comments,shares,media,type,link,collection_date,language
10/5/0204,harris,5400000,"When I am president, I will build an opportunity economy to ensure every American has the chance to succeed.",screenshos of x posts,2567,2219,185,yes,image,,10/13/2024,en
10/5/0204,harris,5400000,"Thank you, Liz Cheney for your endorsement.
The vast majority of us agree: We must hold sacred America's fundamental principles. If you share that view—no matter your political party—there is a place for you in this campaign.",image of Cheney with quote supporting Harris,17114,3654,962,yes,image,,10/13/2024,en
10/5/0204,harris,5400000,Let’s unite this nation.,images of Harris and Cheney,11272,3032,613,yes,image,,10/13/2024,en
10/5/0204,harris,5400000,"President Joe Biden and I are coordinating a whole-of-government effort to help communities recover from Hurricane Helene.
We have authorized the movement of 1,000 active-duty soldiers, deployed more than 6,400 federal personnel, and shipped more than 13.2M meals and 13.4M liters of wate",from VP account,2854,1526,192,no,na,,10/13/2024,en
10/5/0204,harris,5400000,"I received a briefing today from officials who have been partnering with us on response and relief efforts on the ground in North Carolina.
Our Administration will continue to work with state and local leaders to get resources to communities impacted by Hurricane Helene.",from VP account,4468,3817,256,yes,photo,,10/13/2024,en
10/5/0204,harris,5400000,"To everyone in the southeast and Appalachia affected by Hurricane Helene: President Biden, Vice President Harris and our entire administration have your back.",video compilation of biden and harris on hurricane relief efforts -- WHITE HOUSE video,2720,1430,282,yes,video,,10/13/2024,en
10/5/0204,harris,5400000,"Today I announced that the Biden-Harris administration will provide $100 million to repair I-40, major artery for Western North Carolina. We will stand with North Carolna and every state affected by this storm for the long haul.",video of Whie House,4130,1828,378,yes,video,,10/13/2024,en
10/1/2024,harris,5400000,"The devastation from Hurricane Helene is immense.
In coordination with state and local officials, President Biden and I will continue to make sure that communities have the support and the resources that they need not only to respond to this storm and its immediate aftermath, but also the resources they will need to recover.",,5145,2881,343,no,na,,10/5/2024,en
10/1/2024,harris,5400000,"Donald Trump and JD Vance will restrict our most fundamental freedoms: the freedom to vote, to make decisions about our own bodies, to love who we love openly and with pride.
Tim Walz and I agree: The government should not be dictating how we live our lives. We believe in freedom.",freedom related,5564,5842,322,no,na,,10/5/2024,en
10/1/2024,harris,5400000,"While at FEMA Headquarters today, I spoke about the ongoing impacts of Hurricane Helene and discussed our Administration’s efforts to get food, water, generators, and other resources to impacted communities as quickly as possible.
I also thanked the FEMA team that is working around-the-clock alongside state and local officials and first responders to keep our communities safe.",photos of harris at FEMA HQ from her VP account,5781,3714,623,yes,photo,,10/5/2024,en
10/1/2024,harris,5400000,To everyone who has been impacted by Hurricane Helene and to all of those who are rightly feeling overwhelmed by the destruction of this loss: Our nation is with you.,video of harris at FEMA headquarters,4539,3736,1026,yes,video,,10/5/2024,en
10/1/2024,harris,5400000,"To all those impacted by Hurricane Helene: Our nation is with you, and our Administration will continue to do everything we can to help you recover and rebuild — no matter how long it takes.",video of harris at FEMA HQ from VP account,4675,3422,568,yes,video,,10/5/2024,en
10/1/2024,harris,5400000,"We have capped the cost of insulin and the cost of prescription drugs for seniors. When I am president, we will continue to make health care more affordable.
Donald Trump’s “concepts of a plan” would gut health care for millions of Americans without a plan to replace it.",video of presidential debate,3355,2734,549,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,"Together, Tim Walz and I are running a people-powered campaign—from red states to blue states, from the heartland to the coasts. 
When elected, we will govern on behalf of all Americans.
Join our movement:",fundraising,2615,2112,143,yes,image,https://secure.actblue.com/donate/social-kdh-walzdebate?refcode=20241001_kdh_fb&fbclid=IwY2xjawFug0RleHRuA2FlbQIxMQABHaH0l_3w9OVFoDVP1i4Ufca2LPZVsJD7gkdAIr7W-4pmbK6oR80b3dmdLQ_aem_5a7w-1LDPCMSdPVvsSZybg,10/5/2024,en
10/2/2024,harris,5400000,"The Trump-Vance Project 2025 playbook would give Trump unprecedented and unchecked legal power to attack our fundamental rights, freedoms, and our democracy.
And as Coach Walz says, “If somebody draws up a playbook, they plan on using it.”
https://secure.actblue.com/donate/social-kdh-walzdebate...",fundraising,2253,2220,153,yes,image,https://secure.actblue.com/donate/social-kdh-walzdebate?refcode=20241001_kdh_fb&fbclid=IwY2xjawFug0RleHRuA2FlbQIxMQABHaH0l_3w9OVFoDVP1i4Ufca2LPZVsJD7gkdAIr7W-4pmbK6oR80b3dmdLQ_aem_5a7w-1LDPCMSdPVvsSZybg,10/5/2024,en
10/2/2024,harris,5400000,"If you stand for country, democracy, and the rule of law—our campaign has a place for you.",image of Harris in reference to Jan 6,6659,3302,918,yes,image,,10/5/2024,en
10/2/2024,harris,5400000,"The Trump-Vance Project 2025 agenda is a direct attack on our freedoms and our nation’s future. 
Tim Walz and I, along with our people-powered campaign, will defeat their dangerous agenda at the ballot box.",image comparing Trump v Harris agenda,4912,4456,1238,yes,image,,10/5/2024,en
10/2/2024,harris,5400000,"Tim Walz, it's game time. 
I am excited for the country to see you in action: live.kamalaharris.com/watchparty",photo of harris and walz on a stage,6804,2729,287,yes,photo,live.kamalaharris.com/watchparty,10/5/2024,en
10/2/2024,harris,5400000,"On this day in 1967, Thurgood Marshall was sworn into the Supreme Court, becoming the first Black justice to serve on the highest court in our land. His work to expand civil rights, equality, and opportunity for all has made our nation better. 
Justice Marshall is a hero of mine and one of the reasons I wanted to be a lawyer. When I swore the oath of office as Vice President of the United States, one of the Bibles I used had belonged to him.
Like Justice Marshall, I fight to speak up for the voiceless and help those in need. I fight to remove the barriers that stand in their way—to help people everywhere defend and define themselves, rather than be defined by others. 
Whether it is advocating for the voiceless or defending equal justice under law, Justice Marshall’s legacy drives me to this day. It will continue to do so when I am elected president.",photo of harris swearing and thurgood marshall,4321,1827,300,yes,photo,,10/5/2024,en
10/2/2024,harris,5400000,"Over the past few days, communities in the southeast have endured destruction and devastation.
While in Augusta, Georgia today, I spoke with people impacted by Hurricane Helene. I also received briefings from those who are working around the clock to help folks on the ground. We will continue to do everything we can to help communities recover.",post with photos of her vp account in Georgia related to hurricane relief efforts,6659,3302,390,yes,photo,,10/5/2024,en
10/2/2024,harris,5400000,"J.D. Vance is an extremist determined to strip away our most fundamental freedoms—and he could be just one heartbeat away from the Oval Office.
The stakes in this election could not be higher.",commercial featuring JD Vance and Jan 6 ,4077,2331,701,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,We are pro-women. We are pro-freedom to make your own choice.,sharing video  of VP debate from Walz's account.,5399,1967,351,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,"We had the fairest and toughest immigration bill this nation has seen, but Donald Trump told Republicans to vote against it to help his campaign.
Kamala Harris will bring the bill back and sign it.",sharing video  of VP debate from Walz's account.,7347,4825,600,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,no text,video of harris at FEMA HQ from VP account,4952,2889,369,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,"Thank you to all those who are doing critical work in Georgia and throughout the region to get folks the support and the relief that they so desperately need, and so rightly deserve, in the aftermath of Hurricane Helene.",video of Harris in Georgia addressing hurricane relief,3650,3070,379,yes,video,,10/5/2024,en
10/2/2024,harris,5400000,"To the people of Georgia and all those across the southeast who have been affected by this devastating storm: President Biden and I are here for the long haul.
Today, President Joe Biden approved the full federal reimbursement of costs, which allows relief to get to communities as quickly as possible and helps with emergency services people desperately need.",video of Harris in Georgia addressing hurricane relief from  VP account,4898,3530,477,yes,video,,10/5/2024,en
10/3/2024,harris,5400000,no text,announcement of event in Wisconsin with Liz Cheney,1807,1000,0,yes,image,,10/5/2024,en
10/3/2024,harris,5400000,"Donald Trump’s “concepts of a plan” would threaten coverage for people with preexisting conditions and make health care more expensive for millions of Americans.
We’re not going back.",comparison of trump v harris agenda on healthcare,2505,1825,834,yes,image,,10/5/2024,en
10/3/2024,harris,5400000,"Here is a simple truth: Our economy has not been working as it should for the women of our nation, especially for women of color.
If we are going to continue to grow our economy and be competitive, we must build an economy that works for women.",screenshos of x posts,1952,1621,135,yes,image,,10/5/2024,en
10/3/2024,harris,5400000,"When Donald Trump was president, he tried to eliminate the Affordable Care Act almost 60 times. 
Governor Tim Walz and I will strengthen the ACA and continue to make health care more affordable for all Americans.",related to healthcare,3986,1914,189,no,na,,10/5/2024,en
10/3/2024,harris,5400000,Country over party.,collection of photos of harris with cheney at rally,23040,3011,2213,yes,photo,,10/5/2024,en
